nome_originale;percorso_originale;sha256;duplicato;duplicato_di;id_delibera;nome_assegnato;eliminato
atto_30.pdf;C:\Users\Ciro\Documents\Tirocinio\Input\atto_30.pdf;86b9daa766d6f7f7c03d8c3ebd5777f433a3e22e67ce21fa90a72150525d8c5a;0;;ATTO_030;atto_30.pdf;0
atto_31.pdf;C:\Users\Ciro\Documents\Tirocinio\Input\atto_31.pdf;d466eaab840277b200e1fc736921145a8e39e891d170671e64c8088bc3e36c87;0;;ATTO_031;atto_31.pdf;0
atto_32.pdf;C:\Users\Ciro\Documents\Tirocinio\Input\atto_32.pdf;6eae2b72355fbe70d59395910b5ecfd2aedb36f9df1a492067c1c141a4d39e2e;0;;ATTO_032;atto_32.pdf;0
atto_33.pdf;C:\Users\Ciro\Documents\Tirocinio\Input\atto_33.pdf;1568a1c5b49fa50a1f4c3654ec52055754eb2207d2a65521a30500c24364ab81;0;;ATTO_033;atto_33.pdf;0
atto_34.pdf;C:\Users\Ciro\Documents\Tirocinio\Input\atto_34.pdf;c8b8b6054e21cbc30b56c0c2de1052467a92b8a31bdf11bc4d5811172a16086b;0;;ATTO_034;atto_34.pdf;0
atto_35.pdf;C:\Users\Ciro\Documents\Tirocinio\Input\atto_35.pdf;84d40019eadf5b6d6f5e5971499072c7054b048c4cfaa8fec068602c88e2ab8f;0;;ATTO_035;atto_35.pdf;0
atto_36.pdf;C:\Users\Ciro\Documents\Tirocinio\Input\atto_36.pdf;ef50dff3e2fb659fd0e2b1ed45842495659c62a4dcfe3f32eab5e5794e4c6abc;0;;ATTO_036;atto_36.pdf;0
atto_37.pdf;C:\Users\Ciro\Documents\Tirocinio\Input\atto_37.pdf;9c63adf52846b8f69ba36c7964d09bb35e2fbdb78f74cd3e49f88b526f16644d;0;;ATTO_037;atto_37.pdf;0
atto_38.pdf;C:\Users\Ciro\Documents\Tirocinio\Input\atto_38.pdf;188897a18b6e65d9c8a04f1aa7ac8662c92e1bae1acf5ffe6aa72e4b5f6fc13a;0;;ATTO_038;atto_38.pdf;0
atto_39.pdf;C:\Users\Ciro\Documents\Tirocinio\Input\atto_39.pdf;85777f91f298d5179c92b954ba1b041306a5b6c5fb955b4b65d5a7192957d655;0;;ATTO_039;atto_39.pdf;0
atto_40.pdf;C:\Users\Ciro\Documents\Tirocinio\Input\atto_40.pdf;f796302670c258f5f989df88b92187a4c4c6dfd3d6c4a4f8d56ca83b39a214c3;0;;ATTO_040;atto_40.pdf;0
atto_41.pdf;C:\Users\Ciro\Documents\Tirocinio\Input\atto_41.pdf;2dc4d39982b3e63e7f8c3acf5761edcbd2052ad79b5d9d50e4981cee51b06953;0;;ATTO_041;atto_41.pdf;0
atto_42.pdf;C:\Users\Ciro\Documents\Tirocinio\Input\atto_42.pdf;4a2c393e6cb1533269ac952d92d8625f5441d23a38df028725f0580ef900413f;0;;ATTO_042;atto_42.pdf;0
atto_43.pdf;C:\Users\Ciro\Documents\Tirocinio\Input\atto_43.pdf;e1847630d29c6b14f453151cf5782df5b9999aa8b0bd8589042de262f096b6d0;0;;ATTO_043;atto_43.pdf;0
atto_44.pdf;C:\Users\Ciro\Documents\Tirocinio\Input\atto_44.pdf;afbfcdbac064029f86fc844c7da057b24a0a63abc385b293eb3758721f59aef6;0;;ATTO_044;atto_44.pdf;0
atto_45.pdf;C:\Users\Ciro\Documents\Tirocinio\Input\atto_45.pdf;562f6eb78505f1dd68d30ddc2c71fb833d4e45e7c097a832f8e091275031eb28;0;;ATTO_045;atto_45.pdf;0
atto_46.pdf;C:\Users\Ciro\Documents\Tirocinio\Input\atto_46.pdf;cc7782f71ccac07b80a0ea25ffe0f768d3634345db2d424ed4ebc206cecbd951;0;;ATTO_046;atto_46.pdf;0
atto_47.pdf;C:\Users\Ciro\Documents\Tirocinio\Input\atto_47.pdf;b197d1403af613144007f7f10c851f98fc47097785aaf143bdaa4e74fee06d38;0;;ATTO_047;atto_47.pdf;0
atto_48.pdf;C:\Users\Ciro\Documents\Tirocinio\Input\atto_48.pdf;4d942c015e82c998397f3e6db78218bd26e9cf9d158c8d03c1482e5bb181597d;0;;ATTO_048;atto_48.pdf;0
atto_49.pdf;C:\Users\Ciro\Documents\Tirocinio\Input\atto_49.pdf;360a5b717d62cec9dd435f0b74d6e8fc3554c0c1dff606c8e2382e5d9fdc661e;0;;ATTO_049;atto_49.pdf;0
atto_50.pdf;C:\Users\Ciro\Documents\Tirocinio\Input\atto_50.pdf;b294b76c66b5da5a17b9da04e7414b6480c9d4404129316e64e86a53053f1e38;0;;ATTO_050;atto_50.pdf;0
