id_atto;file_name;pdf_path_locale;pdf_link;txt_path_locale;txt_link;testo_llm_path_locale;testo_llm_link;ocr;errore_tecnico;fallback_locale;modello;input_tokens;output_tokens;total_tokens;costo_input;costo_output;costo_totale;avg_input_tokens_per_chunk;avg_output_tokens_per_chunk;avg_total_tokens_per_chunk;num_chunk_llm;timestamp
0028;atto_28.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Input\atto_28.pdf;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Input/atto_28.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Output\Golden\Golden128\gemma3_12b_pipeline_A\txt_opendataloader\atto_28.txt;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Output/Golden/Golden128/gemma3_12b_pipeline_A/txt_opendataloader/atto_28.txt;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Output\Golden\Golden128\gemma3_12b_pipeline_A\testi_completi_llm\0028_atto_28_testo_completo_llm.txt;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Output/Golden/Golden128/gemma3_12b_pipeline_A/testi_completi_llm/0028_atto_28_testo_completo_llm.txt;0;;0;gemma3:12b;736;350;1086;0.0;0.0;0.0;736.0;350.0;1086.0;1;2026-06-08 16:57:30
0029;atto_29.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Input\atto_29.pdf;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Input/atto_29.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Output\Golden\Golden128\gemma3_12b_pipeline_A\txt_opendataloader_ocr\atto_29_rapidocr.txt;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Output/Golden/Golden128/gemma3_12b_pipeline_A/txt_opendataloader_ocr/atto_29_rapidocr.txt;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Output\Golden\Golden128\gemma3_12b_pipeline_A\testi_completi_llm\0029_atto_29_testo_completo_llm.txt;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Output/Golden/Golden128/gemma3_12b_pipeline_A/testi_completi_llm/0029_atto_29_testo_completo_llm.txt;1;;0;gemma3:12b;758;350;1108;0.0;0.0;0.0;758.0;350.0;1108.0;1;2026-06-08 16:59:20
0030;atto_30.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Input\atto_30.pdf;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Input/atto_30.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Output\Golden\Golden128\gemma3_12b_pipeline_A\txt_opendataloader\atto_30.txt;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Output/Golden/Golden128/gemma3_12b_pipeline_A/txt_opendataloader/atto_30.txt;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Output\Golden\Golden128\gemma3_12b_pipeline_A\testi_completi_llm\0030_atto_30_testo_completo_llm.txt;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Output/Golden/Golden128/gemma3_12b_pipeline_A/testi_completi_llm/0030_atto_30_testo_completo_llm.txt;0;;0;gemma3:12b;666;291;957;0.0;0.0;0.0;666.0;291.0;957.0;1;2026-06-08 17:00:37
0031;atto_31.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Input\atto_31.pdf;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Input/atto_31.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Output\Golden\Golden128\gemma3_12b_pipeline_A\txt_opendataloader\atto_31.txt;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Output/Golden/Golden128/gemma3_12b_pipeline_A/txt_opendataloader/atto_31.txt;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Output\Golden\Golden128\gemma3_12b_pipeline_A\testi_completi_llm\0031_atto_31_testo_completo_llm.txt;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Output/Golden/Golden128/gemma3_12b_pipeline_A/testi_completi_llm/0031_atto_31_testo_completo_llm.txt;0;;0;gemma3:12b;710;334;1044;0.0;0.0;0.0;710.0;334.0;1044.0;1;2026-06-08 17:02:02
0032;atto_32.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Input\atto_32.pdf;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Input/atto_32.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Output\Golden\Golden128\gemma3_12b_pipeline_A\txt_opendataloader\atto_32.txt;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Output/Golden/Golden128/gemma3_12b_pipeline_A/txt_opendataloader/atto_32.txt;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Output\Golden\Golden128\gemma3_12b_pipeline_A\testi_completi_llm\0032_atto_32_testo_completo_llm.txt;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Output/Golden/Golden128/gemma3_12b_pipeline_A/testi_completi_llm/0032_atto_32_testo_completo_llm.txt;0;;0;gemma3:12b;689;313;1002;0.0;0.0;0.0;689.0;313.0;1002.0;1;2026-06-08 17:03:24
0033;atto_33.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Input\atto_33.pdf;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Input/atto_33.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Output\Golden\Golden128\gemma3_12b_pipeline_A\txt_opendataloader_ocr\atto_33_rapidocr.txt;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Output/Golden/Golden128/gemma3_12b_pipeline_A/txt_opendataloader_ocr/atto_33_rapidocr.txt;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Output\Golden\Golden128\gemma3_12b_pipeline_A\testi_completi_llm\0033_atto_33_testo_completo_llm.txt;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Output/Golden/Golden128/gemma3_12b_pipeline_A/testi_completi_llm/0033_atto_33_testo_completo_llm.txt;1;;0;gemma3:12b;699;304;1003;0.0;0.0;0.0;699.0;304.0;1003.0;1;2026-06-08 17:05:09
0034;atto_34.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Input\atto_34.pdf;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Input/atto_34.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Output\Golden\Golden128\gemma3_12b_pipeline_A\txt_opendataloader_ocr\atto_34_rapidocr.txt;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Output/Golden/Golden128/gemma3_12b_pipeline_A/txt_opendataloader_ocr/atto_34_rapidocr.txt;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Output\Golden\Golden128\gemma3_12b_pipeline_A\testi_completi_llm\0034_atto_34_testo_completo_llm.txt;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Output/Golden/Golden128/gemma3_12b_pipeline_A/testi_completi_llm/0034_atto_34_testo_completo_llm.txt;1;;0;gemma3:12b;708;280;988;0.0;0.0;0.0;708.0;280.0;988.0;1;2026-06-08 17:06:51
0035;atto_35.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Input\atto_35.pdf;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Input/atto_35.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Output\Golden\Golden128\gemma3_12b_pipeline_A\txt_opendataloader_ocr\atto_35_rapidocr.txt;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Output/Golden/Golden128/gemma3_12b_pipeline_A/txt_opendataloader_ocr/atto_35_rapidocr.txt;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Output\Golden\Golden128\gemma3_12b_pipeline_A\testi_completi_llm\0035_atto_35_testo_completo_llm.txt;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Output/Golden/Golden128/gemma3_12b_pipeline_A/testi_completi_llm/0035_atto_35_testo_completo_llm.txt;1;;0;gemma3:12b;737;350;1087;0.0;0.0;0.0;737.0;350.0;1087.0;1;2026-06-08 17:09:11
0036;atto_36.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Input\atto_36.pdf;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Input/atto_36.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Output\Golden\Golden128\gemma3_12b_pipeline_A\txt_opendataloader\atto_36_head_7_tail_7_pagine.txt;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Output/Golden/Golden128/gemma3_12b_pipeline_A/txt_opendataloader/atto_36_head_7_tail_7_pagine.txt;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Output\Golden\Golden128\gemma3_12b_pipeline_A\testi_completi_llm\0036_atto_36_testo_completo_llm.txt;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Output/Golden/Golden128/gemma3_12b_pipeline_A/testi_completi_llm/0036_atto_36_testo_completo_llm.txt;0;;0;gemma3:12b;649;243;892;0.0;0.0;0.0;649.0;243.0;892.0;1;2026-06-08 17:10:19
0037;atto_37.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Input\atto_37.pdf;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Input/atto_37.pdf;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Output\Golden\Golden128\gemma3_12b_pipeline_A\txt_opendataloader_ocr\atto_37_head_7_tail_7_pagine_rapidocr.txt;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Output/Golden/Golden128/gemma3_12b_pipeline_A/txt_opendataloader_ocr/atto_37_head_7_tail_7_pagine_rapidocr.txt;C:\Users\itsci\Documents\Tirocinio\ScriptDataset\Output\Golden\Golden128\gemma3_12b_pipeline_A\testi_completi_llm\0037_atto_37_testo_completo_llm.txt;file:///C:/Users/itsci/Documents/Tirocinio/ScriptDataset/Output/Golden/Golden128/gemma3_12b_pipeline_A/testi_completi_llm/0037_atto_37_testo_completo_llm.txt;1;;0;gemma3:12b;746;350;1096;0.0;0.0;0.0;746.0;350.0;1096.0;1;2026-06-08 17:12:55
