tool;source_format;tipo_blocco;macro_sezione;n
opendataloader;markdown;ACQUISITI_PARERI;PARERI_ATTESTAZIONI;9
opendataloader;markdown;ACQUISITO;ISTRUTTORIA;8
opendataloader;markdown;ANALIZZATO;ISTRUTTORIA_VALUTAZIONE;1
opendataloader;markdown;ATTESO;MOTIVAZIONE;16
opendataloader;markdown;ATTESTA;PARERI_ATTESTAZIONI;4
opendataloader;markdown;CONSIDERATO;MOTIVAZIONE;44
opendataloader;markdown;DATO_ATTO;ISTRUTTORIA;45
opendataloader;markdown;ESAMINATO;ISTRUTTORIA_VALUTAZIONE;1
opendataloader;markdown;EVIDENZIATO;MOTIVAZIONE;5
opendataloader;markdown;FORMULATO;ISTRUTTORIA;4
opendataloader;markdown;INDIVIDUATO;ISTRUTTORIA;2
opendataloader;markdown;PRECISATO;ISTRUTTORIA_MOTIVAZIONE;7
opendataloader;markdown;PREDISPOSTO;ISTRUTTORIA;1
opendataloader;markdown;PREMESSO;NARRATIVA_PREMESSA;21
opendataloader;markdown;PRESO_ATTO;ISTRUTTORIA;20
opendataloader;markdown;RAVVISATO;MOTIVAZIONE;2
opendataloader;markdown;RICHIAMATO;PREAMBOLO_RIFERIMENTI;20
opendataloader;markdown;RICONOSCIUTO;MOTIVAZIONE_VALUTAZIONE;6
opendataloader;markdown;RICORDATO;PREAMBOLO_RIFERIMENTI;1
opendataloader;markdown;RILEVATO;ISTRUTTORIA_MOTIVAZIONE;15
opendataloader;markdown;RITENUTO;MOTIVAZIONE_VALUTAZIONE;49
opendataloader;markdown;TENUTO_CONTO;ISTRUTTORIA_MOTIVAZIONE;5
opendataloader;markdown;VALUTATO;MOTIVAZIONE_VALUTAZIONE;5
opendataloader;markdown;VERIFICATO;ISTRUTTORIA;2
opendataloader;markdown;VISTI_PARERI;PARERI_ATTESTAZIONI;12
opendataloader;markdown;VISTO;PREAMBOLO_RIFERIMENTI;126
